# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#KICK RIGHT & LEFT
11160	2	274	22	300	0
11170	423	274	443	300	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	362	154	382	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT & LEFT 
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

############ SMALL ################
#IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#HOLD
12160	186	120	198	135	0
12170	246	120	259	135	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#KICK RIGHT & LEFT
12260	5	80	20	95	0
12270	425	80	440	95	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#HOLD MOVE RIGHT & LEFT
12360	155	120	169	135	0
12370	276	120	290	135	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12412	35	80	50	95	0
12416	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12422	65	40	80	55	0
12426	365	40	380	55	0

############ RACCOON ################
#IDLE
14121	243	634	263	661	0
14111	182	634	202	661	0

#WALK RIGHT
14222	272	634	293	661	0
14223	303	634	323	661	0

#WALK LEFT
14212	152	634	173	661	0
14213	122	634	142	661	0

#KICK RIGHT & LEFT
14160	2	753	23	781	0
14170	422	753	443	781	0

#RUN RIGHT
14321	331	634	354	661	0
14322	362	634	384	661	0
14323	393	634	413	661	0

#RUN LEFT
14311	91	634	114	661	0
14312	61	634	82	661	0
14313	32	634	52	661	0

#JUMP WALK RIGHT & LEFT 
14413	31	754	53	780	0
14417	392	754	414	780	0

#JUMP RUN RIGHT & LEFT 
14423	61	714	84	741	0
14427	361	714	384	741	0

#SIT RIGHT & LEFT 
14521	393	678	413	696	0
14511	32	678	52	696	0

#BRACE RIGHT & LEFT 
14621	425	633	442	661	0
14611	5	633	22	661	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#KICK RIGHT & LEFT
550	11170	1000
551	11160	1000

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1101	12111	100

#HOLD
1150	12170	100
1151	12160	100

#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#HOLD MOVE
1350	12370	100	12170	100
1351	12360	100	12160	100

#KICK RIGHT & LEFT
1250	12270	1000
1251	12260	1000

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12416	100
1501	12412	100

#JUMP HOLD
1550	12370	100
1551	12360	100

#JUMP RUN 
1601	12422	100
1600	12426	100

################### RACCOON #################
1700	14121	100
1701	14111	100

#WALK LEFT & RIGHT 
1800	14121	100	14222	100	14223	100
1801	14111	100	14212	100	14213	100

#KICK RIGHT & LEFT
1850	14170	1000
1851	14160	1000

#RUN LEFT & RIGHT
1900	14321	50	14322	50	14323	50
1901	14311	50	14312	50	14313	50

#BRACE LEFT & RIGHT
2000	14621	100
2001	14611	100

#JUMP WALK
2100	14417	100
2101	14413	100

#JUMP RUN
2200	14427	100
2201	14423	100

#SIT
2300	14521	100
2301	14511	100
	
