# list of object assets to load in this scene
[ASSETS]
background.txt
platform.txt
block.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
#BACKGROUND
15	8	8	16	28000
15	8	24	16	28001
15	8	40	16	28001
15	8	56	16	28001
15	8	72	16	28001
15	8	88	16	28001
15	8	104	16	28001
15	8	120	16	28001
15	8	136	16	28001
15	8	152	16	28001
15	8	168	16	28001
15	8	184	16	28001
15	8	200	16	28001
9	8	200	28100
9	24	200	28200
9	40	200	28100
9	56	200	28200
9	72	200	28100
9	88	200	28200
9	104	200	28100
9	120	200	28200
9	136	200	28100
9	152	200	28200
9	168	200	28100
9	184	200	28200
9	200	200	28100
9	216	200	28200
9	232	200	28100
9	248	200	28200
9	8	216	28101
9	24	216	28201
9	40	216	28101
9	56	216	28201
9	72	216	28101
9	88	216	28201
9	104	216	28101
9	120	216	28201
9	136	216	28101
9	152	216	28201
9	168	216	28101
9	184	216	28201
9	200	216	28101
9	216	216	28201
9	232	216	28101
9	248	216	28201
#BUSH
9	8	184	96200
9	8	168	96200
9	8	152	96200
9	8	136	96000
9	24	184	96600
9	24	168	96400
9	24	152	96300
9	24	136	96100
9	40	184	96300
9	40	168	96100

9	200	184	96000
9	216	184	96500
9	216	168	96200
9	216	152	96200
9	216	136	96000
9	232	184	96600
9	232	168	96600
9	232	152	96600
9	232	136	96500
9	232	120	96200
9	232	104	96000
9	248	184	96300
9	248	168	96300
9	248	152	96300
9	248	136	96300
9	248	120	96300
9	248	104	96100
#Cloud
9	8	72	28300
9	24	40	28301
9	40	40	28302
9	216	30	28301
9	232	30	28302
#Title
9	120	80	28900
#Mode
9	130	152	28401
9	130	164	28402
